train_steps,agent_steps,return,env_steps,env,run
2000,65326.0,1.4,261304.0,atari_breakout,atari_breakout_1
4000,122723.5,0.6,490894.0,atari_breakout,atari_breakout_1
6000,198400.0,3.6,793600.0,atari_breakout,atari_breakout_1
8000,278485.0,4.9,1113940.0,atari_breakout,atari_breakout_1
10000,360165.0,4.6,1440660.0,atari_breakout,atari_breakout_1
12000,441233.0,3.8,1764932.0,atari_breakout,atari_breakout_1
14000,519718.5,4.3,2078874.0,atari_breakout,atari_breakout_1
16000,598093.5,4.8,2392374.0,atari_breakout,atari_breakout_1
18000,674705.0,5.2,2698820.0,atari_breakout,atari_breakout_1
20000,755627.5,6.1,3022510.0,atari_breakout,atari_breakout_1
22000,833679.5,6.7,3334718.0,atari_breakout,atari_breakout_1
24000,918363.5,6.9,3673454.0,atari_breakout,atari_breakout_1
26000,996608.0,6.4,3986432.0,atari_breakout,atari_breakout_1
28000,1076851.5,7.3,4307406.0,atari_breakout,atari_breakout_1
30000,1149718.5,7.2,4598874.0,atari_breakout,atari_breakout_1
32000,1228455.0,10.1,4913820.0,atari_breakout,atari_breakout_1
34000,1308822.5,11.5,5235290.0,atari_breakout,atari_breakout_1
36000,1387505.5,11.5,5550022.0,atari_breakout,atari_breakout_1
38000,1462132.0,15.1,5848528.0,atari_breakout,atari_breakout_1
40000,1544275.5,14.7,6177102.0,atari_breakout,atari_breakout_1
42000,1624178.5,15.6,6496714.0,atari_breakout,atari_breakout_1
44000,1704202.0,15.9,6816808.0,atari_breakout,atari_breakout_1
46000,1785602.5,16.9,7142410.0,atari_breakout,atari_breakout_1
48000,1867256.5,16.7,7469026.0,atari_breakout,atari_breakout_1
50000,1945996.0,18.2,7783984.0,atari_breakout,atari_breakout_1
52000,2025652.5,17.8,8102610.0,atari_breakout,atari_breakout_1
54000,2109650.5,22.2,8438602.0,atari_breakout,atari_breakout_1
56000,2191912.5,27.3,8767650.0,atari_breakout,atari_breakout_1
58000,2266297.5,23.1,9065190.0,atari_breakout,atari_breakout_1
60000,2340622.5,23.3,9362490.0,atari_breakout,atari_breakout_1
62000,2421009.5,24.1,9684038.0,atari_breakout,atari_breakout_1
64000,2501895.0,23.5,10007580.0,atari_breakout,atari_breakout_1
66000,2575199.5,23.0,10300798.0,atari_breakout,atari_breakout_1
68000,2661143.0,24.1,10644572.0,atari_breakout,atari_breakout_1
70000,2742106.5,25.4,10968426.0,atari_breakout,atari_breakout_1
72000,2827291.0,26.9,11309164.0,atari_breakout,atari_breakout_1
74000,2911824.5,28.4,11647298.0,atari_breakout,atari_breakout_1
76000,2999804.0,30.5,11999216.0,atari_breakout,atari_breakout_1
78000,3079597.5,32.1,12318390.0,atari_breakout,atari_breakout_1
80000,3159493.5,32.4,12637974.0,atari_breakout,atari_breakout_1
82000,3236228.5,34.3,12944914.0,atari_breakout,atari_breakout_1
84000,3301094.0,40.3,13204376.0,atari_breakout,atari_breakout_1
86000,3377779.5,37.8,13511118.0,atari_breakout,atari_breakout_1
88000,3459541.5,33.2,13838166.0,atari_breakout,atari_breakout_1
90000,3539033.0,41.5,14156132.0,atari_breakout,atari_breakout_1
92000,3618731.0,41.8,14474924.0,atari_breakout,atari_breakout_1
94000,3700941.5,42.9,14803766.0,atari_breakout,atari_breakout_1
96000,3783782.5,56.9,15135130.0,atari_breakout,atari_breakout_1
98000,3868869.5,48.0,15475478.0,atari_breakout,atari_breakout_1
100000,3954391.0,44.5,15817564.0,atari_breakout,atari_breakout_1
102000,4037095.0,44.4,16148380.0,atari_breakout,atari_breakout_1
104000,4109082.0,51.4,16436328.0,atari_breakout,atari_breakout_1
106000,4191336.0,45.0,16765344.0,atari_breakout,atari_breakout_1
108000,4269588.0,56.7,17078352.0,atari_breakout,atari_breakout_1
110000,4355998.5,51.8,17423994.0,atari_breakout,atari_breakout_1
112000,4436926.5,59.5,17747706.0,atari_breakout,atari_breakout_1
114000,4508939.5,57.7,18035758.0,atari_breakout,atari_breakout_1
116000,4585281.5,67.8,18341126.0,atari_breakout,atari_breakout_1
118000,4661883.5,70.6,18647534.0,atari_breakout,atari_breakout_1
120000,4749721.5,78.3,18998886.0,atari_breakout,atari_breakout_1
122000,4827411.0,74.6,19309644.0,atari_breakout,atari_breakout_1
124000,4907690.0,72.0,19630760.0,atari_breakout,atari_breakout_1
126000,4992869.5,81.5,19971478.0,atari_breakout,atari_breakout_1
128000,5072365.0,76.8,20289460.0,atari_breakout,atari_breakout_1
130000,5149950.0,86.3,20599800.0,atari_breakout,atari_breakout_1
132000,5229786.5,82.9,20919146.0,atari_breakout,atari_breakout_1
134000,5308641.0,71.2,21234564.0,atari_breakout,atari_breakout_1
136000,5391630.0,73.9,21566520.0,atari_breakout,atari_breakout_1
138000,5474777.5,88.2,21899110.0,atari_breakout,atari_breakout_1
140000,5550169.5,86.3,22200678.0,atari_breakout,atari_breakout_1
142000,5626554.0,88.1,22506216.0,atari_breakout,atari_breakout_1
144000,5705972.5,100.6,22823890.0,atari_breakout,atari_breakout_1
146000,5776442.0,84.6,23105768.0,atari_breakout,atari_breakout_1
148000,5854691.0,93.7,23418764.0,atari_breakout,atari_breakout_1
150000,5932549.0,88.2,23730196.0,atari_breakout,atari_breakout_1
152000,6006521.5,99.1,24026086.0,atari_breakout,atari_breakout_1
154000,6082548.5,107.3,24330194.0,atari_breakout,atari_breakout_1
156000,6165016.5,107.3,24660066.0,atari_breakout,atari_breakout_1
158000,6241321.5,119.8,24965286.0,atari_breakout,atari_breakout_1
160000,6316108.5,122.4,25264434.0,atari_breakout,atari_breakout_1
162000,6397386.0,107.4,25589544.0,atari_breakout,atari_breakout_1
164000,6467657.5,115.6,25870630.0,atari_breakout,atari_breakout_1
166000,6546191.5,116.0,26184766.0,atari_breakout,atari_breakout_1
168000,6624783.0,108.8,26499132.0,atari_breakout,atari_breakout_1
170000,6704355.5,119.5,26817422.0,atari_breakout,atari_breakout_1
172000,6776708.5,115.0,27106834.0,atari_breakout,atari_breakout_1
174000,6849139.0,148.9,27396556.0,atari_breakout,atari_breakout_1
176000,6922040.5,129.9,27688162.0,atari_breakout,atari_breakout_1
178000,7004194.0,121.0,28016776.0,atari_breakout,atari_breakout_1
180000,7087642.0,141.3,28350568.0,atari_breakout,atari_breakout_1
182000,7167186.5,139.2,28668746.0,atari_breakout,atari_breakout_1
184000,7251152.0,144.9,29004608.0,atari_breakout,atari_breakout_1
186000,7330305.0,137.0,29321220.0,atari_breakout,atari_breakout_1
188000,7412818.5,138.3,29651274.0,atari_breakout,atari_breakout_1
190000,7498327.5,143.5,29993310.0,atari_breakout,atari_breakout_1
192000,7580245.0,160.6,30320980.0,atari_breakout,atari_breakout_1
194000,7657033.0,142.0,30628132.0,atari_breakout,atari_breakout_1
196000,7739881.0,170.7,30959524.0,atari_breakout,atari_breakout_1
198000,7815460.5,145.9,31261842.0,atari_breakout,atari_breakout_1
200000,7891917.5,153.7,31567670.0,atari_breakout,atari_breakout_1
202000,7961941.0,167.5,31847764.0,atari_breakout,atari_breakout_1
204000,8043031.0,163.6,32172124.0,atari_breakout,atari_breakout_1
206000,8127516.5,171.0,32510066.0,atari_breakout,atari_breakout_1
208000,8204187.5,174.8,32816750.0,atari_breakout,atari_breakout_1
210000,8287724.5,161.9,33150898.0,atari_breakout,atari_breakout_1
212000,8366574.5,156.7,33466298.0,atari_breakout,atari_breakout_1
214000,8451639.5,171.9,33806558.0,atari_breakout,atari_breakout_1
216000,8536824.0,173.1,34147296.0,atari_breakout,atari_breakout_1
218000,8618340.0,181.6,34473360.0,atari_breakout,atari_breakout_1
220000,8697240.0,177.6,34788960.0,atari_breakout,atari_breakout_1
222000,8778752.0,172.2,35115008.0,atari_breakout,atari_breakout_1
224000,8857924.5,176.4,35431698.0,atari_breakout,atari_breakout_1
226000,8939171.0,170.8,35756684.0,atari_breakout,atari_breakout_1
228000,9018003.5,179.1,36072014.0,atari_breakout,atari_breakout_1
230000,9101374.5,179.6,36405498.0,atari_breakout,atari_breakout_1
232000,9185897.0,175.4,36743588.0,atari_breakout,atari_breakout_1
234000,9258019.0,174.1,37032076.0,atari_breakout,atari_breakout_1
236000,9340855.5,187.4,37363422.0,atari_breakout,atari_breakout_1
238000,9426481.0,198.9,37705924.0,atari_breakout,atari_breakout_1
240000,9505449.5,179.5,38021798.0,atari_breakout,atari_breakout_1
242000,9588281.0,192.7,38353124.0,atari_breakout,atari_breakout_1
244000,9661697.0,188.0,38646788.0,atari_breakout,atari_breakout_1
246000,9736415.0,201.9,38945660.0,atari_breakout,atari_breakout_1
248000,9818518.0,174.5,39274072.0,atari_breakout,atari_breakout_1
250000,9897034.0,189.5,39588136.0,atari_breakout,atari_breakout_1
252000,9972644.5,178.6,39890578.0,atari_breakout,atari_breakout_1
254000,10047509.0,196.4,40190036.0,atari_breakout,atari_breakout_1
256000,10129187.0,185.8,40516748.0,atari_breakout,atari_breakout_1
258000,10210303.5,196.1,40841214.0,atari_breakout,atari_breakout_1
260000,10287887.5,159.9,41151550.0,atari_breakout,atari_breakout_1
262000,10370192.5,192.1,41480770.0,atari_breakout,atari_breakout_1
264000,10447778.5,152.2,41791114.0,atari_breakout,atari_breakout_1
266000,10526371.0,195.4,42105484.0,atari_breakout,atari_breakout_1
268000,10606503.5,186.6,42426014.0,atari_breakout,atari_breakout_1
270000,10688749.5,184.2,42754998.0,atari_breakout,atari_breakout_1
272000,10773251.5,177.4,43093006.0,atari_breakout,atari_breakout_1
274000,10856147.5,190.0,43424590.0,atari_breakout,atari_breakout_1
276000,10934450.5,163.2,43737802.0,atari_breakout,atari_breakout_1
278000,11019110.0,187.4,44076440.0,atari_breakout,atari_breakout_1
280000,11095552.5,172.7,44382210.0,atari_breakout,atari_breakout_1
282000,11170732.0,196.4,44682928.0,atari_breakout,atari_breakout_1
284000,11249605.5,211.0,44998422.0,atari_breakout,atari_breakout_1
286000,11331711.5,177.2,45326846.0,atari_breakout,atari_breakout_1
290000,11501476.0,201.5,46005904.0,atari_breakout,atari_breakout_1
292000,11559305.0,194.7,46237220.0,atari_breakout,atari_breakout_1
294000,11638019.5,176.8,46552078.0,atari_breakout,atari_breakout_1
296000,11718927.0,177.5,46875708.0,atari_breakout,atari_breakout_1
298000,11801277.5,174.0,47205110.0,atari_breakout,atari_breakout_1
300000,11882813.5,179.1,47531254.0,atari_breakout,atari_breakout_1
302000,11956668.5,187.2,47826674.0,atari_breakout,atari_breakout_1
304000,12035715.5,196.7,48142862.0,atari_breakout,atari_breakout_1
306000,12118300.5,196.8,48473202.0,atari_breakout,atari_breakout_1
308000,12201462.0,188.9,48805848.0,atari_breakout,atari_breakout_1
310000,12279140.5,185.4,49116562.0,atari_breakout,atari_breakout_1
312000,12356976.5,188.6,49427906.0,atari_breakout,atari_breakout_1
314000,12440754.0,184.1,49763016.0,atari_breakout,atari_breakout_1
316000,12514609.5,173.3,50058438.0,atari_breakout,atari_breakout_1
318000,12594255.5,196.2,50377022.0,atari_breakout,atari_breakout_1
320000,12667770.5,190.9,50671082.0,atari_breakout,atari_breakout_1
322000,12746094.5,186.6,50984378.0,atari_breakout,atari_breakout_1
324000,12826426.5,203.9,51305706.0,atari_breakout,atari_breakout_1
326000,12901409.0,196.6,51605636.0,atari_breakout,atari_breakout_1
328000,12986162.0,191.4,51944648.0,atari_breakout,atari_breakout_1
330000,13071459.5,188.6,52285838.0,atari_breakout,atari_breakout_1
332000,13152232.5,185.3,52608930.0,atari_breakout,atari_breakout_1
334000,13232243.5,188.0,52928974.0,atari_breakout,atari_breakout_1
336000,13306639.0,183.6,53226556.0,atari_breakout,atari_breakout_1
338000,13391476.5,187.5,53565906.0,atari_breakout,atari_breakout_1
340000,13467871.0,188.6,53871484.0,atari_breakout,atari_breakout_1
342000,13541450.0,188.0,54165800.0,atari_breakout,atari_breakout_1
344000,13613336.5,183.4,54453346.0,atari_breakout,atari_breakout_1
346000,13690202.0,167.5,54760808.0,atari_breakout,atari_breakout_1
348000,13767879.5,174.6,55071518.0,atari_breakout,atari_breakout_1
350000,13844358.0,186.4,55377432.0,atari_breakout,atari_breakout_1
352000,13921270.0,189.6,55685080.0,atari_breakout,atari_breakout_1
354000,14000348.5,197.0,56001394.0,atari_breakout,atari_breakout_1
356000,14080333.0,198.4,56321332.0,atari_breakout,atari_breakout_1
358000,14159502.0,197.4,56638008.0,atari_breakout,atari_breakout_1
360000,14232439.5,210.5,56929758.0,atari_breakout,atari_breakout_1
362000,14309305.5,210.4,57237222.0,atari_breakout,atari_breakout_1
364000,14388987.0,192.9,57555948.0,atari_breakout,atari_breakout_1
366000,14470352.5,188.8,57881410.0,atari_breakout,atari_breakout_1
368000,14551428.0,201.4,58205712.0,atari_breakout,atari_breakout_1
370000,14627134.0,199.3,58508536.0,atari_breakout,atari_breakout_1
372000,14704939.5,200.9,58819758.0,atari_breakout,atari_breakout_1
374000,14786033.5,200.8,59144134.0,atari_breakout,atari_breakout_1
376000,14865090.0,209.1,59460360.0,atari_breakout,atari_breakout_1
378000,14936094.5,206.7,59744378.0,atari_breakout,atari_breakout_1
380000,15009153.0,208.0,60036612.0,atari_breakout,atari_breakout_1
382000,15091926.5,203.8,60367706.0,atari_breakout,atari_breakout_1
384000,15170106.5,196.7,60680426.0,atari_breakout,atari_breakout_1
386000,15248284.0,202.2,60993136.0,atari_breakout,atari_breakout_1
388000,15325060.0,218.4,61300240.0,atari_breakout,atari_breakout_1
390000,15407982.0,200.3,61631928.0,atari_breakout,atari_breakout_1
392000,15486197.5,203.9,61944790.0,atari_breakout,atari_breakout_1
394000,15568705.0,217.2,62274820.0,atari_breakout,atari_breakout_1
396000,15649508.0,228.1,62598032.0,atari_breakout,atari_breakout_1
398000,15727020.0,194.1,62908080.0,atari_breakout,atari_breakout_1
400000,15807403.5,200.5,63229614.0,atari_breakout,atari_breakout_1
402000,15888640.0,205.0,63554560.0,atari_breakout,atari_breakout_1
404000,15970748.5,232.4,63882994.0,atari_breakout,atari_breakout_1
406000,16051183.5,212.6,64204734.0,atari_breakout,atari_breakout_1
408000,16132180.5,209.7,64528722.0,atari_breakout,atari_breakout_1
410000,16207220.0,220.6,64828880.0,atari_breakout,atari_breakout_1
412000,16287111.0,207.2,65148444.0,atari_breakout,atari_breakout_1
414000,16364747.0,219.0,65458988.0,atari_breakout,atari_breakout_1
416000,16439525.0,211.6,65758100.0,atari_breakout,atari_breakout_1
418000,16519056.0,190.0,66076224.0,atari_breakout,atari_breakout_1
420000,16597142.5,216.1,66388570.0,atari_breakout,atari_breakout_1
422000,16676938.5,215.6,66707754.0,atari_breakout,atari_breakout_1
424000,16759983.0,215.6,67039932.0,atari_breakout,atari_breakout_1
426000,16834416.0,226.1,67337664.0,atari_breakout,atari_breakout_1
428000,16915619.0,219.3,67662476.0,atari_breakout,atari_breakout_1
430000,16998332.5,213.7,67993330.0,atari_breakout,atari_breakout_1
432000,17077726.5,198.7,68310906.0,atari_breakout,atari_breakout_1
434000,17159409.5,218.5,68637638.0,atari_breakout,atari_breakout_1
436000,17242180.5,234.3,68968722.0,atari_breakout,atari_breakout_1
438000,17322351.0,230.5,69289404.0,atari_breakout,atari_breakout_1
440000,17395431.0,206.2,69581724.0,atari_breakout,atari_breakout_1
442000,17472775.0,232.0,69891100.0,atari_breakout,atari_breakout_1
444000,17551036.5,232.9,70204146.0,atari_breakout,atari_breakout_1
446000,17631655.0,197.8,70526620.0,atari_breakout,atari_breakout_1
448000,17714322.5,235.5,70857290.0,atari_breakout,atari_breakout_1
450000,17792506.0,250.6,71170024.0,atari_breakout,atari_breakout_1
452000,17874986.0,248.0,71499944.0,atari_breakout,atari_breakout_1
454000,17958593.5,261.6,71834374.0,atari_breakout,atari_breakout_1
456000,18037579.0,246.5,72150316.0,atari_breakout,atari_breakout_1
458000,18118986.0,272.2,72475944.0,atari_breakout,atari_breakout_1
460000,18200939.0,289.7,72803756.0,atari_breakout,atari_breakout_1
462000,18275867.5,260.6,73103470.0,atari_breakout,atari_breakout_1
464000,18349829.0,252.7,73399316.0,atari_breakout,atari_breakout_1
466000,18424157.0,278.2,73696628.0,atari_breakout,atari_breakout_1
468000,18502727.5,271.7,74010910.0,atari_breakout,atari_breakout_1
470000,18585590.5,249.4,74342362.0,atari_breakout,atari_breakout_1
472000,18662891.0,281.6,74651564.0,atari_breakout,atari_breakout_1
474000,18740982.5,299.0,74963930.0,atari_breakout,atari_breakout_1
476000,18822548.5,297.4,75290194.0,atari_breakout,atari_breakout_1
478000,18902283.0,296.0,75609132.0,atari_breakout,atari_breakout_1
480000,18983906.0,288.3,75935624.0,atari_breakout,atari_breakout_1
482000,19059385.5,281.8,76237542.0,atari_breakout,atari_breakout_1
484000,19139212.5,305.8,76556850.0,atari_breakout,atari_breakout_1
486000,19212068.0,310.0,76848272.0,atari_breakout,atari_breakout_1
488000,19290147.5,311.2,77160590.0,atari_breakout,atari_breakout_1
490000,19370260.0,284.7,77481040.0,atari_breakout,atari_breakout_1
492000,19445129.5,281.0,77780518.0,atari_breakout,atari_breakout_1
494000,19520782.5,313.1,78083130.0,atari_breakout,atari_breakout_1
496000,19595157.5,301.7,78380630.0,atari_breakout,atari_breakout_1
498000,19671826.5,304.7,78687306.0,atari_breakout,atari_breakout_1
500000,19753235.0,330.8,79012940.0,atari_breakout,atari_breakout_1
502000,19831336.5,303.8,79325346.0,atari_breakout,atari_breakout_1
504000,19916336.5,283.0,79665346.0,atari_breakout,atari_breakout_1
506000,19999076.5,288.3,79996306.0,atari_breakout,atari_breakout_1
508000,20070278.5,298.9,80281114.0,atari_breakout,atari_breakout_1
510000,20148018.5,294.7,80592074.0,atari_breakout,atari_breakout_1
512000,20225297.5,276.3,80901190.0,atari_breakout,atari_breakout_1
514000,20307566.5,322.2,81230266.0,atari_breakout,atari_breakout_1
516000,20388516.5,309.6,81554066.0,atari_breakout,atari_breakout_1
518000,20468445.5,295.9,81873782.0,atari_breakout,atari_breakout_1
520000,20544844.5,304.2,82179378.0,atari_breakout,atari_breakout_1
522000,20622730.0,343.3,82490920.0,atari_breakout,atari_breakout_1
524000,20706479.0,304.9,82825916.0,atari_breakout,atari_breakout_1
526000,20790586.5,318.5,83162346.0,atari_breakout,atari_breakout_1
528000,20874305.5,324.6,83497222.0,atari_breakout,atari_breakout_1
530000,20951955.0,319.2,83807820.0,atari_breakout,atari_breakout_1
532000,21030766.5,293.2,84123066.0,atari_breakout,atari_breakout_1
534000,21110465.5,312.7,84441862.0,atari_breakout,atari_breakout_1
536000,21186549.5,340.1,84746198.0,atari_breakout,atari_breakout_1
538000,21261983.5,341.4,85047934.0,atari_breakout,atari_breakout_1
540000,21336745.5,327.0,85346982.0,atari_breakout,atari_breakout_1
542000,21411746.0,307.0,85646984.0,atari_breakout,atari_breakout_1
544000,21495705.0,330.4,85982820.0,atari_breakout,atari_breakout_1
546000,21581342.0,310.3,86325368.0,atari_breakout,atari_breakout_1
548000,21662305.0,292.3,86649220.0,atari_breakout,atari_breakout_1
550000,21744925.5,284.6,86979702.0,atari_breakout,atari_breakout_1
552000,21828887.5,319.6,87315550.0,atari_breakout,atari_breakout_1
554000,21912757.0,258.7,87651028.0,atari_breakout,atari_breakout_1
556000,21992066.0,299.8,87968264.0,atari_breakout,atari_breakout_1
558000,22073560.5,355.5,88294242.0,atari_breakout,atari_breakout_1
560000,22152419.0,337.5,88609676.0,atari_breakout,atari_breakout_1
562000,22231319.5,313.9,88925278.0,atari_breakout,atari_breakout_1
564000,22312582.0,325.7,89250328.0,atari_breakout,atari_breakout_1
566000,22394579.0,348.7,89578316.0,atari_breakout,atari_breakout_1
568000,22477261.0,310.8,89909044.0,atari_breakout,atari_breakout_1
570000,22555736.5,318.9,90222946.0,atari_breakout,atari_breakout_1
572000,22635100.5,315.4,90540402.0,atari_breakout,atari_breakout_1
574000,22715218.0,303.6,90860872.0,atari_breakout,atari_breakout_1
576000,22795568.5,331.9,91182274.0,atari_breakout,atari_breakout_1
578000,22873619.0,338.0,91494476.0,atari_breakout,atari_breakout_1
580000,22961114.5,303.9,91844458.0,atari_breakout,atari_breakout_1
582000,23044000.0,355.3,92176000.0,atari_breakout,atari_breakout_1
584000,23125424.5,303.7,92501698.0,atari_breakout,atari_breakout_1
586000,23207621.0,389.9,92830484.0,atari_breakout,atari_breakout_1
588000,23288265.5,345.2,93153062.0,atari_breakout,atari_breakout_1
590000,23367751.0,331.1,93471004.0,atari_breakout,atari_breakout_1
592000,23444491.0,328.0,93777964.0,atari_breakout,atari_breakout_1
594000,23524561.0,332.5,94098244.0,atari_breakout,atari_breakout_1
596000,23596122.5,330.6,94384490.0,atari_breakout,atari_breakout_1
598000,23674461.5,348.6,94697846.0,atari_breakout,atari_breakout_1
600000,23749533.5,339.3,94998134.0,atari_breakout,atari_breakout_1
602000,23828428.0,322.7,95313712.0,atari_breakout,atari_breakout_1
604000,23909489.0,336.6,95637956.0,atari_breakout,atari_breakout_1
606000,23997444.0,308.7,95989776.0,atari_breakout,atari_breakout_1
608000,24081776.0,328.7,96327104.0,atari_breakout,atari_breakout_1
610000,24159184.5,306.5,96636738.0,atari_breakout,atari_breakout_1
612000,24240360.5,349.0,96961442.0,atari_breakout,atari_breakout_1
614000,24322582.0,336.0,97290328.0,atari_breakout,atari_breakout_1
616000,24407073.5,348.2,97628294.0,atari_breakout,atari_breakout_1
618000,24487518.5,320.6,97950074.0,atari_breakout,atari_breakout_1
620000,24573889.5,322.7,98295558.0,atari_breakout,atari_breakout_1
622000,24654991.0,308.5,98619964.0,atari_breakout,atari_breakout_1
624000,24729030.5,352.5,98916122.0,atari_breakout,atari_breakout_1
626000,24805630.5,344.8,99222522.0,atari_breakout,atari_breakout_1
628000,24860271.0,265.8,99441084.0,atari_breakout,atari_breakout_1
