train_steps,agent_steps,return,env_steps,env,run
2000,49781.0,0.0,199124.0,atari_montezuma_revenge,atari_montezuma_1
4000,120420.0,0.0,481680.0,atari_montezuma_revenge,atari_montezuma_1
6000,190205.5,0.0,760822.0,atari_montezuma_revenge,atari_montezuma_1
8000,259582.5,0.0,1038330.0,atari_montezuma_revenge,atari_montezuma_1
10000,306980.0,0.0,1227920.0,atari_montezuma_revenge,atari_montezuma_1
12000,393703.5,0.0,1574814.0,atari_montezuma_revenge,atari_montezuma_1
14000,458448.5,0.0,1833794.0,atari_montezuma_revenge,atari_montezuma_1
16000,542159.0,0.9,2168636.0,atari_montezuma_revenge,atari_montezuma_1
18000,617586.5,0.0,2470346.0,atari_montezuma_revenge,atari_montezuma_1
20000,689802.5,0.8,2759210.0,atari_montezuma_revenge,atari_montezuma_1
22000,765444.5,0.0,3061778.0,atari_montezuma_revenge,atari_montezuma_1
24000,844715.0,0.0,3378860.0,atari_montezuma_revenge,atari_montezuma_1
26000,922510.5,0.0,3690042.0,atari_montezuma_revenge,atari_montezuma_1
28000,999564.0,3.8,3998256.0,atari_montezuma_revenge,atari_montezuma_1
30000,1075723.0,1.7,4302892.0,atari_montezuma_revenge,atari_montezuma_1
32000,1147925.5,0.7,4591702.0,atari_montezuma_revenge,atari_montezuma_1
34000,1218038.0,2.5,4872152.0,atari_montezuma_revenge,atari_montezuma_1
36000,1289050.0,1.4,5156200.0,atari_montezuma_revenge,atari_montezuma_1
38000,1364810.0,0.6,5459240.0,atari_montezuma_revenge,atari_montezuma_1
40000,1438838.0,0.0,5755352.0,atari_montezuma_revenge,atari_montezuma_1
42000,1510696.5,0.0,6042786.0,atari_montezuma_revenge,atari_montezuma_1
44000,1588082.0,0.7,6352328.0,atari_montezuma_revenge,atari_montezuma_1
46000,1661626.0,0.7,6646504.0,atari_montezuma_revenge,atari_montezuma_1
48000,1737713.0,0.0,6950852.0,atari_montezuma_revenge,atari_montezuma_1
50000,1818436.0,0.0,7273744.0,atari_montezuma_revenge,atari_montezuma_1
52000,1893973.0,0.0,7575892.0,atari_montezuma_revenge,atari_montezuma_1
54000,1965869.0,1.2,7863476.0,atari_montezuma_revenge,atari_montezuma_1
56000,2037858.5,0.0,8151434.0,atari_montezuma_revenge,atari_montezuma_1
58000,2111723.5,0.0,8446894.0,atari_montezuma_revenge,atari_montezuma_1
60000,2188382.5,0.6,8753530.0,atari_montezuma_revenge,atari_montezuma_1
62000,2268243.0,0.0,9072972.0,atari_montezuma_revenge,atari_montezuma_1
64000,2345432.0,0.0,9381728.0,atari_montezuma_revenge,atari_montezuma_1
66000,2419975.0,0.7,9679900.0,atari_montezuma_revenge,atari_montezuma_1
68000,2497210.5,0.0,9988842.0,atari_montezuma_revenge,atari_montezuma_1
70000,2570606.0,0.0,10282424.0,atari_montezuma_revenge,atari_montezuma_1
72000,2649489.0,3.1,10597956.0,atari_montezuma_revenge,atari_montezuma_1
74000,2725682.5,0.6,10902730.0,atari_montezuma_revenge,atari_montezuma_1
76000,2802263.0,3.1,11209052.0,atari_montezuma_revenge,atari_montezuma_1
78000,2884555.0,0.5,11538220.0,atari_montezuma_revenge,atari_montezuma_1
80000,2957776.0,2.9,11831104.0,atari_montezuma_revenge,atari_montezuma_1
82000,3032720.0,4.4,12130880.0,atari_montezuma_revenge,atari_montezuma_1
84000,3104498.5,44.5,12417994.0,atari_montezuma_revenge,atari_montezuma_1
86000,3180539.5,105.0,12722158.0,atari_montezuma_revenge,atari_montezuma_1
88000,3259250.5,110.0,13037002.0,atari_montezuma_revenge,atari_montezuma_1
90000,3331920.0,100.0,13327680.0,atari_montezuma_revenge,atari_montezuma_1
92000,3415951.0,100.0,13663804.0,atari_montezuma_revenge,atari_montezuma_1
