train_steps,agent_steps,return,env_steps,env,run
4000,106440.0,-20.7,425760.0,atari_pong,atari_pong_2
6000,187696.0,-19.8,750784.0,atari_pong,atari_pong_2
8000,267390.0,-15.3,1069560.0,atari_pong,atari_pong_2
10000,339442.0,-14.8,1357768.0,atari_pong,atari_pong_2
12000,424492.0,-11.1,1697968.0,atari_pong,atari_pong_2
14000,503763.0,-8.7,2015052.0,atari_pong,atari_pong_2
16000,591239.0,-7.0,2364956.0,atari_pong,atari_pong_2
18000,678517.0,-5.0,2714068.0,atari_pong,atari_pong_2
20000,770619.0,-2.3,3082476.0,atari_pong,atari_pong_2
22000,856396.0,-3.1,3425584.0,atari_pong,atari_pong_2
24000,937301.0,-0.1,3749204.0,atari_pong,atari_pong_2
26000,1028179.0,0.4,4112716.0,atari_pong,atari_pong_2
28000,1114381.0,5.0,4457524.0,atari_pong,atari_pong_2
30000,1206611.0,8.8,4826444.0,atari_pong,atari_pong_2
32000,1293367.0,11.5,5173468.0,atari_pong,atari_pong_2
34000,1386401.0,12.7,5545604.0,atari_pong,atari_pong_2
36000,1476937.0,14.5,5907748.0,atari_pong,atari_pong_2
38000,1560730.0,15.8,6242920.0,atari_pong,atari_pong_2
40000,1654644.0,17.2,6618576.0,atari_pong,atari_pong_2
42000,1742062.0,17.0,6968248.0,atari_pong,atari_pong_2
44000,1828704.0,17.2,7314816.0,atari_pong,atari_pong_2
46000,1915010.0,17.2,7660040.0,atari_pong,atari_pong_2
48000,2003240.0,18.0,8012960.0,atari_pong,atari_pong_2
50000,2086512.0,18.0,8346048.0,atari_pong,atari_pong_2
52000,2175529.0,18.3,8702116.0,atari_pong,atari_pong_2
54000,2262321.0,18.5,9049284.0,atari_pong,atari_pong_2
56000,2342871.0,18.7,9371484.0,atari_pong,atari_pong_2
58000,2425586.0,18.6,9702344.0,atari_pong,atari_pong_2
60000,2519276.0,18.5,10077104.0,atari_pong,atari_pong_2
62000,2599692.0,18.0,10398768.0,atari_pong,atari_pong_2
64000,2683827.0,18.8,10735308.0,atari_pong,atari_pong_2
66000,2771878.0,18.8,11087512.0,atari_pong,atari_pong_2
68000,2857552.0,19.2,11430208.0,atari_pong,atari_pong_2
70000,2943126.0,19.5,11772504.0,atari_pong,atari_pong_2
72000,3034268.0,19.0,12137072.0,atari_pong,atari_pong_2
74000,3120879.0,19.3,12483516.0,atari_pong,atari_pong_2
76000,3205093.0,19.7,12820372.0,atari_pong,atari_pong_2
78000,3295696.0,19.3,13182784.0,atari_pong,atari_pong_2
80000,3391388.0,18.8,13565552.0,atari_pong,atari_pong_2
82000,3482716.0,19.5,13930864.0,atari_pong,atari_pong_2
84000,3568196.0,19.2,14272784.0,atari_pong,atari_pong_2
