train_steps,agent_steps,return,env_steps,env,run
2000,64357.0,189.4,257428.0,atari_space_invaders,atari_spaceinvaders_0
4000,123066.0,256.5,492264.0,atari_space_invaders,atari_spaceinvaders_0
6000,211100.5,326.7,844402.0,atari_space_invaders,atari_spaceinvaders_0
8000,299859.0,313.2,1199436.0,atari_space_invaders,atari_spaceinvaders_0
10000,384021.5,373.8,1536086.0,atari_space_invaders,atari_spaceinvaders_0
12000,468812.0,410.0,1875248.0,atari_space_invaders,atari_spaceinvaders_0
14000,552821.0,409.5,2211284.0,atari_space_invaders,atari_spaceinvaders_0
16000,639781.0,463.3,2559124.0,atari_space_invaders,atari_spaceinvaders_0
18000,723238.0,417.0,2892952.0,atari_space_invaders,atari_spaceinvaders_0
20000,804151.5,385.9,3216606.0,atari_space_invaders,atari_spaceinvaders_0
22000,883300.0,405.1,3533200.0,atari_space_invaders,atari_spaceinvaders_0
24000,966981.0,434.9,3867924.0,atari_space_invaders,atari_spaceinvaders_0
26000,1053391.0,446.4,4213564.0,atari_space_invaders,atari_spaceinvaders_0
28000,1138176.5,486.1,4552706.0,atari_space_invaders,atari_spaceinvaders_0
30000,1222046.5,505.5,4888186.0,atari_space_invaders,atari_spaceinvaders_0
32000,1304736.5,479.7,5218946.0,atari_space_invaders,atari_spaceinvaders_0
34000,1390003.0,493.1,5560012.0,atari_space_invaders,atari_spaceinvaders_0
36000,1471853.0,486.8,5887412.0,atari_space_invaders,atari_spaceinvaders_0
38000,1557857.0,502.0,6231428.0,atari_space_invaders,atari_spaceinvaders_0
40000,1645743.0,542.3,6582972.0,atari_space_invaders,atari_spaceinvaders_0
42000,1731231.0,530.0,6924924.0,atari_space_invaders,atari_spaceinvaders_0
44000,1818324.5,536.4,7273298.0,atari_space_invaders,atari_spaceinvaders_0
46000,1902475.0,567.0,7609900.0,atari_space_invaders,atari_spaceinvaders_0
48000,1988200.5,583.5,7952802.0,atari_space_invaders,atari_spaceinvaders_0
50000,2074062.5,592.5,8296250.0,atari_space_invaders,atari_spaceinvaders_0
52000,2162545.0,606.2,8650180.0,atari_space_invaders,atari_spaceinvaders_0
54000,2246139.5,615.6,8984558.0,atari_space_invaders,atari_spaceinvaders_0
56000,2319521.5,587.1,9278086.0,atari_space_invaders,atari_spaceinvaders_0
58000,2404282.0,653.9,9617128.0,atari_space_invaders,atari_spaceinvaders_0
60000,2487972.5,611.2,9951890.0,atari_space_invaders,atari_spaceinvaders_0
62000,2572761.5,624.6,10291046.0,atari_space_invaders,atari_spaceinvaders_0
64000,2655578.0,641.6,10622312.0,atari_space_invaders,atari_spaceinvaders_0
66000,2741943.5,676.0,10967774.0,atari_space_invaders,atari_spaceinvaders_0
68000,2832388.0,654.2,11329552.0,atari_space_invaders,atari_spaceinvaders_0
