train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,,6.933333333333334,,,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
10000,801900.0,7.133333333333334,,3207600.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
15000,1318200.0,4.233333333333333,,5272800.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
20000,1809000.0,11.966666666666667,,7236000.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
25000,2293800.0,8.033333333333333,,9175200.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
30000,2763900.0,9.933333333333334,,11055600.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
35000,3241800.0,11.4,,12967200.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
40000,3740400.0,13.266666666666667,,14961600.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
45000,4198800.0,11.666666666666666,,16795200.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
50000,4699800.0,13.533333333333333,,18799200.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
55000,5182800.0,13.4,,20731200.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
60000,5625900.0,12.4,,22503600.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
65000,6163200.0,6.931034482758621,,24652800.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
70000,6729300.0,14.166666666666666,,26917200.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
75000,7187400.0,7.966666666666667,,28749600.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
80000,7668900.0,5.833333333333333,,30675600.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
85000,8169000.0,9.866666666666667,,32676000.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
90000,8670600.0,12.4,,34682400.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
95000,9132600.0,18.8,,36530400.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
100000,9582300.0,26.9,,38329200.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
105000,10011000.0,24.8,,40044000.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
110000,10444500.0,27.6,,41778000.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
115000,10849200.0,33.56666666666667,,43396800.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
120000,11306700.0,30.96551724137931,,45226800.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
125000,11780400.0,26.181818181818183,,47121600.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
130000,12255300.0,33.689655172413794,,49021200.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
135000,12701400.0,36.833333333333336,,50805600.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
140000,13129200.0,33.666666666666664,,52516800.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
145000,13579800.0,42.93333333333333,,54319200.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
150000,13990500.0,35.96,,55962000.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
155000,14440200.0,31.88888888888889,,57760800.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
160000,14867100.0,48.25,,59468400.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
165000,15313200.0,51.96666666666667,,61252800.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
170000,15780600.0,55.96666666666667,,63122400.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
175000,16221600.0,46.333333333333336,,64886400.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
180000,16671600.0,52.785714285714285,,66686400.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
185000,17118600.0,58.92,,68474400.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
190000,17562600.0,62.81481481481482,,70250400.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
195000,18019200.0,72.86666666666666,,72076800.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
200000,18496800.0,65.23333333333333,,73987200.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
205000,18939000.0,68.24137931034483,,75756000.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
210000,19365300.0,70.16,,77461200.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
215000,19831200.0,73.25,,79324800.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
220000,20304900.0,74.67857142857143,,81219600.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
225000,20752800.0,67.5,,83011200.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
230000,21190500.0,66.93333333333334,,84762000.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
235000,21670200.0,77.0,,86680800.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
240000,22154400.0,70.88,,88617600.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
245000,22620000.0,78.96296296296296,,90480000.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
250000,23096700.0,66.33333333333333,,92386800.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
255000,23581800.0,70.3,,94327200.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
260000,24069600.0,95.10714285714286,,96278400.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
265000,24531600.0,75.46428571428571,,98126400.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
270000,24970500.0,75.92307692307692,,99882000.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
275000,25434600.0,71.42857142857143,,101738400.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
280000,25886700.0,66.26666666666667,,103546800.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
285000,26292000.0,87.73333333333333,,105168000.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
290000,26743500.0,89.61538461538461,,106974000.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
295000,27212400.0,69.64285714285714,,108849600.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
300000,27675900.0,88.57692307692308,,110703600.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
305000,28134000.0,82.86666666666666,,112536000.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
310000,28506600.0,93.0909090909091,,114026400.0,dmlab_explore_goal_locations_large,dmlab_explore_goal_locations_large
