train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,405000.0,9.425,,1620000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small
10000,742500.0,14.875,,2970000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small
15000,1221300.0,24.375,,4885200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small
20000,1753650.0,39.95,,7014600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small
25000,2250000.0,45.32,,9000000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small
30000,2687850.0,53.51428571428571,,10751400.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small
35000,3196800.0,67.24444444444444,,12787200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small
40000,3742200.0,74.38461538461539,,14968800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small
45000,4167000.0,85.36585365853658,,16668000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small
50000,4662900.0,94.15,,18651600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small
55000,5193000.0,106.3,,20772000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small
60000,5717250.0,99.3,,22869000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small
65000,6250500.0,109.13333333333334,,25002000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small
