train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,491400.0,11.521739130434783,,1965600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
10000,994950.0,32.391304347826086,,3979800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
15000,1593000.0,46.2,,6372000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
20000,2220750.0,31.25,,8883000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
25000,2851200.0,66.8,,11404800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
30000,3514050.0,76.52173913043478,,14056200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
35000,4133700.0,92.8,,16534800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
40000,4793850.0,79.58333333333333,,19175400.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
45000,5367600.0,116.0,,21470400.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
50000,5983200.0,119.79166666666667,,23932800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
55000,6543900.0,117.4,,26175600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
60000,7163100.0,110.625,,28652400.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
65000,7812900.0,159.0,,31251600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
70000,8455050.0,146.80851063829786,,33820200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
75000,9099000.0,155.49019607843138,,36396000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
80000,9709200.0,163.95833333333334,,38836800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
85000,10301400.0,164.58333333333334,,41205600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
90000,10886400.0,165.20833333333334,,43545600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
95000,11491200.0,171.6,,45964800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
100000,12079800.0,176.95652173913044,,48319200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
105000,12699900.0,183.4,,50799600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
110000,13306950.0,179.56521739130434,,53227800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
115000,13918500.0,214.4,,55674000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
120000,14409900.0,235.1851851851852,,57639600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_0
