train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,931500.0,15.681818181818182,,3726000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
10000,1300050.0,33.69565217391305,,5200200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
15000,1863900.0,40.833333333333336,,7455600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
20000,2350350.0,64.34782608695652,,9401400.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
25000,2909700.0,73.75,,11638800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
30000,3489750.0,85.45454545454545,,13959000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
35000,4065300.0,81.25,,16261200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
40000,4676400.0,96.95652173913044,,18705600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
45000,5294700.0,95.625,,21178800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
50000,5881950.0,128.63636363636363,,23527800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
55000,6415200.0,92.5,,25660800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
60000,6983550.0,105.8695652173913,,27934200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
65000,7564500.0,110.8695652173913,,30258000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
70000,8113500.0,82.3913043478261,,32454000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
75000,8668800.0,120.625,,34675200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
80000,9175950.0,122.17391304347827,,36703800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
85000,9765900.0,101.30434782608695,,39063600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
90000,10284300.0,116.66666666666667,,41137200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
95000,10865700.0,152.08333333333334,,43462800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
100000,11485800.0,143.69565217391303,,45943200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
105000,11985300.0,145.625,,47941200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
110000,12538800.0,117.72727272727273,,50155200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
115000,13068000.0,157.70833333333334,,52272000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
120000,13670100.0,162.6086956521739,,54680400.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
125000,14287500.0,187.08333333333334,,57150000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
130000,14913450.0,191.52173913043478,,59653800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl10
