train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,823500.0,25.454545454545453,,3294000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
10000,1320300.0,10.833333333333334,,5281200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
15000,1939500.0,35.208333333333336,,7758000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
20000,2511000.0,39.09090909090909,,10044000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
25000,3078000.0,48.75,,12312000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
30000,3680100.0,73.04347826086956,,14720400.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
35000,4240800.0,77.91666666666667,,16963200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
40000,4811400.0,55.65217391304348,,19245600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
45000,5408100.0,107.29166666666667,,21632400.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
50000,5998050.0,127.70833333333333,,23992200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
55000,6654600.0,130.625,,26618400.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
60000,7244100.0,140.2173913043478,,28976400.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
65000,7855200.0,152.6,,31420800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
70000,8472600.0,136.7391304347826,,33890400.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
75000,9073800.0,157.4,,36295200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
80000,9602550.0,177.3913043478261,,38410200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
85000,10191600.0,163.8,,40766400.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
90000,10755450.0,170.2173913043478,,43021800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
95000,11260800.0,156.0,,45043200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
100000,11851650.0,172.17391304347825,,47406600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
105000,12421800.0,214.4,,49687200.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
110000,13019400.0,200.625,,52077600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
115000,13617000.0,178.95833333333334,,54468000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
120000,14245200.0,205.20833333333334,,56980800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
125000,14826600.0,206.25,,59306400.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
130000,15385950.0,217.82608695652175,,61543800.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
135000,15943500.0,225.4,,63774000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
140000,16502400.0,247.91666666666666,,66009600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
145000,17109000.0,221.0,,68436000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
150000,17699850.0,222.08333333333334,,70799400.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
155000,18383400.0,187.30769230769232,,73533600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
160000,19053900.0,182.08333333333334,,76215600.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
165000,19453500.0,162.5,,77814000.0,dmlab_explore_goal_locations_small,dmlab_explore_goal_locations_small_kl3_ent010
