train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,509400.0,4.543333333333334,,2037600.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
10000,785700.0,5.846666666666666,,3142800.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
15000,1304400.0,8.276666666666667,,5217600.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
20000,1827000.0,10.636666666666665,,7308000.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
25000,2318400.0,11.203333333333335,,9273600.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
30000,2813400.0,12.076666666666666,,11253600.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
35000,3250200.0,11.556666666666668,,13000800.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
40000,3726000.0,12.196666666666667,,14904000.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
45000,4230600.0,11.719999999999999,,16922400.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
50000,4713300.0,14.233333333333336,,18853200.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
55000,5194200.0,14.44,,20776800.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
60000,5679000.0,14.57,,22716000.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
65000,6317400.0,14.34,,25269600.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
70000,6849000.0,15.116666666666665,,27396000.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
75000,7270800.0,16.606666666666666,,29083200.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
80000,7757100.0,17.4,,31028400.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
85000,8224800.0,18.779999999999998,,32899200.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
90000,8662500.0,19.13333333333333,,34650000.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
95000,9140400.0,19.249999999999996,,36561600.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
100000,9649800.0,20.120689655172413,,38599200.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
105000,10134600.0,22.046666666666667,,40538400.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
110000,10620000.0,23.03103448275862,,42480000.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
115000,11097000.0,22.882758620689657,,44388000.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
120000,11609100.0,21.1,,46436400.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
125000,12058200.0,23.233333333333334,,48232800.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
130000,12525300.0,25.91481481481481,,50101200.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
135000,13006800.0,24.549999999999997,,52027200.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
140000,13539600.0,21.966666666666672,,54158400.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
145000,14051400.0,26.82999999999999,,56205600.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large
