train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,456300.0,8.357142857142858,,1825200.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
10000,850500.0,8.533333333333333,,3402000.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
15000,1393800.0,11.0,,5575200.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
20000,1892700.0,11.433333333333334,,7570800.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
25000,2405400.0,12.4375,,9621600.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
30000,2922300.0,10.03225806451613,,11689200.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
35000,3436200.0,11.225806451612904,,13744800.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
40000,3965400.0,12.566666666666666,,15861600.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
45000,4488000.0,13.548387096774194,,17952000.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
50000,4977900.0,11.8,,19911600.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
55000,5458800.0,16.774193548387096,,21835200.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
60000,5974200.0,11.133333333333333,,23896800.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
65000,6514200.0,13.612903225806452,,26056800.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
70000,7029000.0,18.133333333333333,,28116000.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
75000,7554000.0,19.25,,30216000.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
80000,8081100.0,19.5,,32324400.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
85000,8613000.0,19.258064516129032,,34452000.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
90000,9096300.0,16.8,,36385200.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
95000,9610800.0,19.903225806451612,,38443200.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
100000,10125000.0,17.9,,40500000.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
105000,10643400.0,18.806451612903224,,42573600.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
110000,11167200.0,22.93103448275862,,44668800.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
115000,11687400.0,21.483870967741936,,46749600.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
120000,12168900.0,24.76,,48675600.0,dmlab_explore_object_locations_large,dmlab_explore_object_locations_large_0
