train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,378000.0,4.69,,1512000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small
10000,716850.0,6.422,,2867400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small
15000,1236600.0,8.3325,,4946400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small
20000,1775250.0,10.944999999999997,,7101000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small
25000,2271600.0,9.604651162790697,,9086400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small
30000,2751300.0,11.87872340425532,,11005200.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small
35000,3261600.0,9.740000000000002,,13046400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small
40000,3762450.0,13.7625,,15049800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small
45000,4320900.0,18.439024390243905,,17283600.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small
50000,4846500.0,24.446938775510205,,19386000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small
55000,5382900.0,28.2575,,21531600.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small
60000,5864400.0,30.229999999999997,,23457600.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small
