train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,433350.0,3.2972972972972974,,1733400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
10000,846450.0,7.55,,3385800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
15000,1407600.0,8.951219512195122,,5630400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
20000,1925100.0,9.625,,7700400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
25000,2458800.0,8.463414634146341,,9835200.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
30000,3005100.0,11.5,,12020400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
35000,3519000.0,14.731707317073171,,14076000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
40000,4018950.0,14.8,,16075800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
45000,4521600.0,25.195121951219512,,18086400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
50000,5032800.0,29.80952380952381,,20131200.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
55000,5517900.0,37.170731707317074,,22071600.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
60000,5971050.0,33.875,,23884200.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
65000,6522300.0,41.292682926829265,,26089200.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
70000,7076700.0,40.775,,28306800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
75000,7634700.0,41.57142857142857,,30538800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
80000,8195850.0,43.853658536585364,,32783400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
85000,8718300.0,51.333333333333336,,34873200.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
90000,9225900.0,51.075,,36903600.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
95000,9748800.0,52.166666666666664,,38995200.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
100000,10282950.0,57.0,,41131800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
105000,10809000.0,56.31707317073171,,43236000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
110000,11340000.0,53.41025641025641,,45360000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
115000,11861100.0,51.61904761904762,,47444400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
120000,12260700.0,47.90909090909091,,49042800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_0
