train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,796500.0,4.2272727272727275,,3186000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
10000,1270350.0,4.956521739130435,,5081400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
15000,1780200.0,8.826086956521738,,7120800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
20000,2343600.0,10.565217391304348,,9374400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
25000,2859300.0,12.173913043478262,,11437200.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
30000,3402000.0,11.795454545454545,,13608000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
35000,3936600.0,19.130434782608695,,15746400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
40000,4488750.0,23.347826086956523,,17955000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
45000,5068800.0,25.23913043478261,,20275200.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
50000,5574150.0,32.02173913043478,,22296600.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
55000,6142500.0,34.608695652173914,,24570000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
60000,6681150.0,35.69565217391305,,26724600.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
65000,7270200.0,32.52173913043478,,29080800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
70000,7840800.0,39.34782608695652,,31363200.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
75000,8400600.0,38.45652173913044,,33602400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
80000,8976150.0,43.04347826086956,,35904600.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
85000,9538200.0,49.34782608695652,,38152800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
90000,10084500.0,47.91304347826087,,40338000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
95000,10622700.0,48.729166666666664,,42490800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
100000,11199600.0,52.93181818181818,,44798400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
105000,11788200.0,47.083333333333336,,47152800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
110000,12348450.0,56.54347826086956,,49393800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
115000,12904200.0,54.604166666666664,,51616800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
120000,13454100.0,55.93181818181818,,53816400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
125000,14003100.0,55.625,,56012400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
130000,14598900.0,55.80434782608695,,58395600.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
135000,15201000.0,55.608695652173914,,60804000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
140000,15766650.0,55.58695652173913,,63066600.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
145000,16366500.0,60.8125,,65466000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
150000,16970850.0,58.91304347826087,,67883400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
155000,17592300.0,60.54347826086956,,70369200.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
160000,18188550.0,67.67391304347827,,72754200.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
165000,18778500.0,64.52083333333333,,75114000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
170000,19379250.0,66.0,,77517000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_kl3_ent001
