train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,230850.0,3.9791666666666665,,923400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
10000,280800.0,5.760869565217392,,1123200.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
15000,339300.0,5.0,,1357200.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
20000,400950.0,4.583333333333333,,1603800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
25000,459000.0,4.346153846153846,,1836000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
30000,519750.0,6.020833333333333,,2079000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
35000,585000.0,4.269230769230769,,2340000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
40000,646650.0,6.5,,2586600.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
45000,709200.0,5.923076923076923,,2836800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
50000,777600.0,6.615384615384615,,3110400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
55000,837000.0,6.277777777777778,,3348000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
60000,900450.0,6.788461538461538,,3601800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
65000,965700.0,7.826923076923077,,3862800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
70000,1027350.0,9.596153846153847,,4109400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
75000,1095300.0,9.846153846153847,,4381200.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
80000,1162350.0,9.673076923076923,,4649400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
85000,1218600.0,9.884615384615385,,4874400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
90000,1282500.0,12.865384615384615,,5130000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
95000,1347300.0,12.153846153846153,,5389200.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
100000,1410750.0,11.096153846153847,,5643000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
105000,1476000.0,12.0,,5904000.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
110000,1537650.0,14.32,,6150600.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
115000,1602900.0,15.44,,6411600.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
120000,1664550.0,15.22,,6658200.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
125000,1730700.0,12.115384615384615,,6922800.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
130000,1796850.0,17.22,,7187400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
135000,1830600.0,8.0,,7322400.0,dmlab_explore_object_locations_small,dmlab_explore_object_locations_small_wrk1_0
