train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,558000.0,2.023333333333333,,2232000.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
10000,868500.0,3.3733333333333335,,3474000.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
15000,1408800.0,4.053333333333332,,5635200.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
20000,1939500.0,5.593333333333334,,7758000.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
25000,2434200.0,7.460000000000003,,9736800.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
30000,2869200.0,8.55,,11476800.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
35000,3394200.0,11.663157894736843,,13576800.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
40000,3910500.0,12.055172413793102,,15642000.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
45000,4392000.0,14.533333333333337,,17568000.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
50000,4882500.0,20.31666666666667,,19530000.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
55000,5391600.0,19.216666666666665,,21566400.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
60000,5829300.0,18.82,,23317200.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
65000,6427200.0,21.419999999999998,,25708800.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
70000,6945300.0,21.353333333333335,,27781200.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
75000,7374000.0,22.01,,29496000.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
80000,7842600.0,23.286666666666665,,31370400.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
85000,8347200.0,22.316666666666666,,33388800.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
90000,8795700.0,23.009999999999998,,35182800.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
95000,9257400.0,23.883333333333333,,37029600.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
100000,9729000.0,27.973333333333336,,38916000.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
105000,10195200.0,25.586666666666677,,40780800.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
110000,10645200.0,26.56666666666667,,42580800.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
115000,11128800.0,28.180000000000003,,44515200.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
120000,11606400.0,27.713333333333335,,46425600.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
125000,12108000.0,28.056666666666665,,48432000.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
130000,12555900.0,29.94285714285714,,50223600.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
135000,13055400.0,30.45625,,52221600.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
140000,13529700.0,27.372413793103455,,54118800.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
145000,14008200.0,30.56451612903226,,56032800.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
150000,14367600.0,29.18,,57470400.0,dmlab_explore_object_rewards_many,dmlab_explore_object_rewards_many
