train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,,2.2666666666666666,,,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
10000,773100.0,3.8,,3092400.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
15000,1223400.0,3.2666666666666666,,4893600.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
20000,1672200.0,4.25,,6688800.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
25000,2161800.0,4.633333333333334,,8647200.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
30000,2580300.0,1.9333333333333333,,10321200.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
35000,3008400.0,3.933333333333333,,12033600.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
40000,3448800.0,3.466666666666667,,13795200.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
45000,3894600.0,6.05,,15578400.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
50000,4374900.0,3.7333333333333334,,17499600.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
55000,4852800.0,4.666666666666667,,19411200.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
60000,5295600.0,4.133333333333334,,21182400.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
65000,5770800.0,4.4,,23083200.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
70000,6264000.0,4.5,,25056000.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
75000,6752400.0,3.3333333333333335,,27009600.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
80000,7248600.0,5.6,,28994400.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
85000,7680600.0,2.8666666666666667,,30722400.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
90000,8144100.0,6.433333333333334,,32576400.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
95000,8599200.0,5.7,,34396800.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
100000,9007200.0,8.033333333333333,,36028800.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
105000,9474600.0,6.8,,37898400.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
110000,9910800.0,7.2,,39643200.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
115000,10380600.0,6.766666666666667,,41522400.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
120000,10785600.0,2.966666666666667,,43142400.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
125000,11248200.0,2.066666666666667,,44992800.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
130000,11706300.0,4.85,,46825200.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
135000,12153000.0,8.233333333333333,,48612000.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
140000,12582900.0,9.1,,50331600.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
145000,13029000.0,5.533333333333333,,52116000.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large
