train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,608400.0,0.3225806451612903,,2433600.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
10000,899100.0,2.3529411764705883,,3596400.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
15000,1459800.0,2.5,,5839200.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
20000,2056500.0,3.4285714285714284,,8226000.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
25000,2653200.0,1.3888888888888888,,10612800.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
30000,3200400.0,3.235294117647059,,12801600.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
35000,3772800.0,0.8333333333333334,,15091200.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
40000,4384800.0,1.4705882352941178,,17539200.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
45000,4947000.0,2.1621621621621623,,19788000.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
50000,5580000.0,2.9411764705882355,,22320000.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
55000,6169800.0,1.4285714285714286,,24679200.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
60000,6762600.0,0.8823529411764706,,27050400.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
65000,7354200.0,0.5555555555555556,,29416800.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
70000,7906500.0,3.3333333333333335,,31626000.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
75000,8457000.0,1.7142857142857142,,33828000.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
80000,8957700.0,1.4705882352941178,,35830800.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
85000,9515400.0,5.142857142857143,,38061600.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
90000,10102500.0,1.7647058823529411,,40410000.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
95000,10569600.0,0.38461538461538464,,42278400.0,dmlab_explore_obstructed_goals_large,dmlab_explore_obstructed_goals_large_0
