train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,445500.0,8.0,,1782000.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
10000,839700.0,15.454545454545455,,3358800.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
15000,1371600.0,12.826086956521738,,5486400.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
20000,1960200.0,21.818181818181817,,7840800.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
25000,2473200.0,22.608695652173914,,9892800.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
30000,3021300.0,17.5,,12085200.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
35000,3594600.0,28.695652173913043,,14378400.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
40000,4147200.0,24.772727272727273,,16588800.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
45000,4743000.0,25.0,,18972000.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
50000,5348700.0,32.82608695652174,,21394800.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
55000,5956200.0,44.31818181818182,,23824800.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
60000,6486750.0,44.04761904761905,,25947000.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
65000,7014600.0,37.111111111111114,,28058400.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
70000,7609950.0,36.27906976744186,,30439800.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
75000,8145000.0,44.78260869565217,,32580000.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
80000,8725050.0,62.04545454545455,,34900200.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
85000,9327600.0,40.21739130434783,,37310400.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
90000,9898200.0,70.0,,39592800.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
95000,10423800.0,68.04347826086956,,41695200.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
100000,10975500.0,70.9090909090909,,43902000.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
105000,11546100.0,56.30434782608695,,46184400.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
110000,12129750.0,67.5,,48519000.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
115000,12628800.0,92.72727272727273,,50515200.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
120000,13182750.0,93.80952380952381,,52731000.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
125000,13734900.0,110.43478260869566,,54939600.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
130000,14169600.0,78.82352941176471,,56678400.0,dmlab_explore_obstructed_goals_small,dmlab_explore_obstructed_goals_small_0
