train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,,-2.206896551724138,,,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
10000,990000.0,-18.166666666666668,,3960000.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
15000,1407000.0,-6.03030303030303,,5628000.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
20000,2006100.0,-3.6857142857142855,,8024400.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
25000,2605800.0,-3.7058823529411766,,10423200.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
30000,3202200.0,-7.972222222222222,,12808800.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
35000,3862800.0,-1.837837837837838,,15451200.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
40000,4512600.0,-0.6216216216216216,,18050400.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
45000,5133000.0,-3.526315789473684,,20532000.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
50000,5776200.0,-2.1142857142857143,,23104800.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
55000,6354600.0,-3.3333333333333335,,25418400.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
60000,6964200.0,-3.7027027027027026,,27856800.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
65000,7590600.0,-2.4054054054054053,,30362400.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
70000,8241300.0,-0.24324324324324326,,32965200.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
75000,8881800.0,-0.2702702702702703,,35527200.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
80000,9543600.0,0.05405405405405406,,38174400.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
85000,10135800.0,-0.5641025641025641,,40543200.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
90000,10740600.0,-3.189189189189189,,42962400.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
95000,11324400.0,-0.7837837837837838,,45297600.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
100000,11919600.0,-2.8857142857142857,,47678400.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
105000,12556200.0,-3.945945945945946,,50224800.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
110000,13148100.0,-5.117647058823529,,52592400.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
115000,13654200.0,-3.257142857142857,,54616800.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
120000,14166900.0,-7.2,,56667600.0,dmlab_language_execute_random_task,dmlab_language_execute_random_task_0
