train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,413100.0,0.1774193548387097,,1652400.0,dmlab_language_select_described_object,dmlab_language_select_described_object
10000,709200.0,-3.9,,2836800.0,dmlab_language_select_described_object,dmlab_language_select_described_object
15000,1011000.0,1.736842105263158,,4044000.0,dmlab_language_select_described_object,dmlab_language_select_described_object
20000,1308600.0,3.3666666666666667,,5234400.0,dmlab_language_select_described_object,dmlab_language_select_described_object
25000,1571400.0,-2.2857142857142856,,6285600.0,dmlab_language_select_described_object,dmlab_language_select_described_object
30000,1845000.0,4.411764705882353,,7380000.0,dmlab_language_select_described_object,dmlab_language_select_described_object
35000,2128800.0,4.32258064516129,,8515200.0,dmlab_language_select_described_object,dmlab_language_select_described_object
40000,2406600.0,3.566666666666667,,9626400.0,dmlab_language_select_described_object,dmlab_language_select_described_object
45000,2694000.0,-0.06451612903225806,,10776000.0,dmlab_language_select_described_object,dmlab_language_select_described_object
50000,2983500.0,9.029411764705882,,11934000.0,dmlab_language_select_described_object,dmlab_language_select_described_object
55000,3255600.0,2.342857142857143,,13022400.0,dmlab_language_select_described_object,dmlab_language_select_described_object
60000,3507300.0,-8.366666666666667,,14029200.0,dmlab_language_select_described_object,dmlab_language_select_described_object
65000,3671100.0,-10.916666666666666,,14684400.0,dmlab_language_select_described_object,dmlab_language_select_described_object
