train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,457200.0,3.5849056603773586,,1828800.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
10000,775800.0,2.972972972972973,,3103200.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
15000,1100400.0,2.4390243902439024,,4401600.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
20000,1452600.0,-0.5555555555555556,,5810400.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
25000,1765800.0,7.631578947368421,,7063200.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
30000,2056500.0,1.4285714285714286,,8226000.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
35000,2345400.0,-7.352941176470588,,9381600.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
40000,2633400.0,-12.5,,10533600.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
45000,2898600.0,15.142857142857142,,11594400.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
50000,3181500.0,-10.588235294117647,,12726000.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
55000,3481800.0,-1.4285714285714286,,13927200.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
60000,3780900.0,-2.6470588235294117,,15123600.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
65000,4074600.0,-23.529411764705884,,16298400.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
70000,4368600.0,0.2857142857142857,,17474400.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
75000,4657200.0,-12.0,,18628800.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
80000,4926600.0,4.117647058823529,,19706400.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
85000,5230200.0,4.285714285714286,,20920800.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
90000,5506200.0,1.7647058823529411,,22024800.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
95000,5787000.0,-2.3529411764705883,,23148000.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
100000,6052500.0,-0.625,,24210000.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
105000,6261300.0,-21.6,,25045200.0,dmlab_language_select_described_object,dmlab_language_select_described_object_0
