train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,540000.0,0.0,,2160000.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
10000,903600.0,0.0,,3614400.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
15000,1520400.0,-0.05555555555555555,,6081600.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
20000,2021400.0,-0.17647058823529413,,8085600.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
25000,2625600.0,0.0,,10502400.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
30000,3238200.0,0.0,,12952800.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
35000,3870000.0,-0.16666666666666666,,15480000.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
40000,4496400.0,-0.058823529411764705,,17985600.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
45000,5072400.0,-0.2777777777777778,,20289600.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
50000,5644800.0,-0.17647058823529413,,22579200.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
55000,6229200.0,-0.16666666666666666,,24916800.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
60000,6841800.0,-0.17647058823529413,,27367200.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
65000,7364400.0,-0.1111111111111111,,29457600.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
70000,7893000.0,-0.1111111111111111,,31572000.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
75000,8491200.0,-0.05555555555555555,,33964800.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
80000,9113400.0,0.0,,36453600.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
85000,9753600.0,-0.10526315789473684,,39014400.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
90000,10341000.0,0.0,,41364000.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
95000,10898400.0,-0.1111111111111111,,43593600.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
100000,11541600.0,-0.2777777777777778,,46166400.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
105000,12138000.0,-0.058823529411764705,,48552000.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
110000,12720600.0,-0.058823529411764705,,50882400.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
115000,13311600.0,-0.1111111111111111,,53246400.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
120000,13723200.0,0.0,,54892800.0,dmlab_lasertag_one_opponent_large,dmlab_lasertag_one_opponent_large_0
