train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,432000.0,0.0,,1728000.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small
10000,847800.0,-0.05,,3391200.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small
15000,1401600.0,-0.13000000000000003,,5606400.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small
20000,1908000.0,-0.09285714285714286,,7632000.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small
25000,2427600.0,-0.06875,,9710400.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small
30000,2892600.0,-0.06000000000000001,,11570400.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small
35000,3397200.0,-0.04,,13588800.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small
40000,3852000.0,-0.14500000000000002,,15408000.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small
45000,4329600.0,-0.11000000000000001,,17318400.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small
50000,4840200.0,-0.125,,19360800.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small
55000,5295600.0,-0.06999999999999999,,21182400.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small
60000,5756400.0,-0.085,,23025600.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small
65000,6134400.0,-0.2,,24537600.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small
