train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,396000.0,0.0,,1584000.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
10000,810000.0,-0.058823529411764705,,3240000.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
15000,1365600.0,-0.05263157894736842,,5462400.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
20000,1954800.0,-0.17647058823529413,,7819200.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
25000,2491200.0,-0.10526315789473684,,9964800.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
30000,3094200.0,0.0,,12376800.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
35000,3609600.0,-0.16666666666666666,,14438400.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
40000,4222800.0,0.0,,16891200.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
45000,4862400.0,-0.1111111111111111,,19449600.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
50000,5437800.0,-0.29411764705882354,,21751200.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
55000,5979600.0,-0.16666666666666666,,23918400.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
60000,6526800.0,0.0,,26107200.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
65000,7105200.0,-0.2222222222222222,,28420800.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
70000,7628400.0,0.0,,30513600.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
75000,8259600.0,-0.05555555555555555,,33038400.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
80000,8870400.0,-0.1111111111111111,,35481600.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
85000,9445200.0,-0.05555555555555555,,37780800.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
90000,10076400.0,-0.11764705882352941,,40305600.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
95000,10687200.0,-0.1111111111111111,,42748800.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
100000,11264400.0,-0.1111111111111111,,45057600.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
105000,11835600.0,0.0,,47342400.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
110000,12432600.0,0.0,,49730400.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
115000,12976800.0,-0.05555555555555555,,51907200.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
120000,13545000.0,-0.11764705882352941,,54180000.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
125000,13885200.0,0.0,,55540800.0,dmlab_lasertag_one_opponent_small,dmlab_lasertag_one_opponent_small_0
