train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,536400.0,-0.125,,2145600.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
10000,840600.0,-0.17647058823529413,,3362400.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
15000,1399200.0,-0.15789473684210525,,5596800.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
20000,1920600.0,-0.23529411764705882,,7682400.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
25000,2524800.0,-0.05555555555555555,,10099200.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
30000,3133800.0,-0.1111111111111111,,12535200.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
35000,3662400.0,-0.1111111111111111,,14649600.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
40000,4255200.0,-0.05555555555555555,,17020800.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
45000,4856400.0,0.0,,19425600.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
50000,5410800.0,-0.11764705882352941,,21643200.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
55000,6015600.0,-0.05555555555555555,,24062400.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
60000,6607800.0,-0.11764705882352941,,26431200.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
65000,7209600.0,-0.1111111111111111,,28838400.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
70000,7824600.0,-0.11764705882352941,,31298400.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
75000,8448000.0,-0.05263157894736842,,33792000.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
80000,9086400.0,-0.17647058823529413,,36345600.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
85000,9668400.0,-0.16666666666666666,,38673600.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
90000,10225800.0,-0.05555555555555555,,40903200.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
95000,10800000.0,0.0,,43200000.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
100000,11404800.0,-0.1111111111111111,,45619200.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
105000,12000000.0,-0.058823529411764705,,48000000.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
110000,12542400.0,-0.058823529411764705,,50169600.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
115000,13069200.0,0.0,,52276800.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
120000,13514400.0,-0.25,,54057600.0,dmlab_lasertag_three_opponents_large,dmlab_lasertag_three_opponents_large_0
