train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,504000.0,-0.02,,2016000.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small
10000,828000.0,-0.035,,3312000.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small
15000,1344000.0,-0.09,,5376000.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small
20000,1823400.0,-0.1,,7293600.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small
25000,2350800.0,-0.12,,9403200.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small
30000,2790000.0,-0.135,,11160000.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small
35000,3298800.0,-0.14,,13195200.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small
40000,3841200.0,-0.1,,15364800.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small
45000,4312800.0,-0.16315789473684209,,17251200.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small
50000,4820400.0,-0.11818181818181818,,19281600.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small
55000,5350800.0,-0.030000000000000006,,21403200.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small
60000,5830200.0,-0.12,,23320800.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small
65000,6226200.0,-0.06363636363636363,,24904800.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small
