train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,450000.0,0.11764705882352941,,1800000.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
10000,846000.0,-0.17647058823529413,,3384000.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
15000,1324800.0,-0.2222222222222222,,5299200.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
20000,1915200.0,-0.35294117647058826,,7660800.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
25000,2498400.0,-0.35294117647058826,,9993600.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
30000,3051000.0,-0.3333333333333333,,12204000.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
35000,3627600.0,-0.2222222222222222,,14510400.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
40000,4183200.0,-0.05555555555555555,,16732800.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
45000,4843200.0,-0.1111111111111111,,19372800.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
50000,5472000.0,0.05555555555555555,,21888000.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
55000,6061200.0,-0.1111111111111111,,24244800.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
60000,6611400.0,-0.1111111111111111,,26445600.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
65000,7198800.0,0.05555555555555555,,28795200.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
70000,7826400.0,0.0,,31305600.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
75000,8353200.0,-0.10526315789473684,,33412800.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
80000,8884800.0,-0.05555555555555555,,35539200.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
85000,9481200.0,0.1111111111111111,,37924800.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
90000,10081800.0,0.05555555555555555,,40327200.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
95000,10688400.0,0.10526315789473684,,42753600.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
100000,11296800.0,-0.05555555555555555,,45187200.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
105000,11878800.0,-0.3888888888888889,,47515200.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
110000,12448800.0,0.23529411764705882,,49795200.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
115000,12950400.0,0.0,,51801600.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
120000,13402800.0,-0.375,,53611200.0,dmlab_lasertag_three_opponents_small,dmlab_lasertag_three_opponents_small_0
