train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,458100.0,2.033333333333333,,1832400.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
10000,823500.0,3.4615384615384617,,3294000.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
15000,1273200.0,5.769230769230769,,5092800.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
20000,1723500.0,6.333333333333333,,6894000.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
25000,2100600.0,6.173913043478261,,8402400.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
30000,2513700.0,5.68,,10054800.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
35000,2884800.0,4.923076923076923,,11539200.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
40000,3294000.0,5.791666666666667,,13176000.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
45000,3728400.0,5.36,,14913600.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
50000,4102200.0,5.958333333333333,,16408800.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
55000,4509600.0,5.956521739130435,,18038400.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
60000,4901400.0,6.565217391304348,,19605600.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
65000,5302800.0,6.130434782608695,,21211200.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
70000,5675400.0,5.8076923076923075,,22701600.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
75000,6086400.0,6.708333333333333,,24345600.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
80000,6507000.0,6.407407407407407,,26028000.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
85000,6970200.0,7.814814814814815,,27880800.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
90000,7434900.0,7.592592592592593,,29739600.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
95000,7870200.0,8.04,,31480800.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
100000,8304300.0,7.115384615384615,,33217200.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
105000,8680200.0,8.12,,34720800.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
110000,9088200.0,8.375,,36352800.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
115000,9486600.0,8.041666666666666,,37946400.0,dmlab_natlab_fixed_large_map,dmlab_natlab_fixed_large_map_0
