train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,466200.0,9.096774193548388,,1864800.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
10000,867600.0,16.677419354838708,,3470400.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
15000,1451400.0,15.696969696969697,,5805600.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
20000,1987200.0,17.375,,7948800.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
25000,2529600.0,19.84375,,10118400.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
30000,3018600.0,14.9375,,12074400.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
35000,3524400.0,12.205882352941176,,14097600.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
40000,4081500.0,16.0625,,16326000.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
45000,4617600.0,16.272727272727273,,18470400.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
50000,5089500.0,19.8125,,20358000.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
55000,5569800.0,16.53125,,22279200.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
60000,6086700.0,19.35483870967742,,24346800.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
65000,6595800.0,16.91176470588235,,26383200.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
70000,7099200.0,18.176470588235293,,28396800.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
75000,7629000.0,17.87878787878788,,30516000.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
80000,8149500.0,17.71875,,32598000.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
85000,8698800.0,14.558823529411764,,34795200.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
90000,9247500.0,17.151515151515152,,36990000.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
95000,9789600.0,19.636363636363637,,39158400.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
100000,10314900.0,21.483870967741936,,41259600.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
105000,10834800.0,22.71875,,43339200.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
110000,11328300.0,23.387096774193548,,45313200.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
115000,11826600.0,18.757575757575758,,47306400.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
120000,12350700.0,20.565217391304348,,49402800.0,dmlab_natlab_varying_map_randomized,dmlab_natlab_varying_map_randomized_0
