train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,558000.0,1.72,,2232000.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth
10000,848700.0,5.453333333333335,,3394800.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth
15000,1277400.0,7.649999999999997,,5109600.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth
20000,1758600.0,7.670000000000001,,7034400.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth
25000,2270400.0,8.333333333333334,,9081600.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth
30000,2795400.0,8.843333333333334,,11181600.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth
35000,3259800.0,8.313333333333334,,13039200.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth
40000,3771900.0,8.840000000000002,,15087600.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth
45000,4258200.0,8.983333333333336,,17032800.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth
50000,4725900.0,8.91,,18903600.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth
55000,5220600.0,8.266666666666666,,20882400.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth
60000,5673600.0,8.24,,22694400.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth
65000,5965200.0,8.09,,23860800.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth
