train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,492300.0,1.125,,1969200.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
10000,880200.0,2.774193548387097,,3520800.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
15000,1366800.0,6.354838709677419,,5467200.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
20000,1870200.0,7.6,,7480800.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
25000,2398200.0,7.0,,9592800.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
30000,2900700.0,8.137931034482758,,11602800.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
35000,3406800.0,6.774193548387097,,13627200.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
40000,3916800.0,8.466666666666667,,15667200.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
45000,4426200.0,7.903225806451613,,17704800.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
50000,4968000.0,7.833333333333333,,19872000.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
55000,5471400.0,7.064516129032258,,21885600.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
60000,5985900.0,7.379310344827586,,23943600.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
65000,6542400.0,7.838709677419355,,26169600.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
70000,7089300.0,7.206896551724138,,28357200.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
75000,7623600.0,7.75,,30494400.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
80000,8163000.0,8.7,,32652000.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
85000,8680800.0,7.32258064516129,,34723200.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
90000,9201600.0,7.8,,36806400.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
95000,9699000.0,7.0,,38796000.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
100000,10170000.0,7.333333333333333,,40680000.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
105000,10665600.0,9.3125,,42662400.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
110000,11167200.0,7.545454545454546,,44668800.0,dmlab_natlab_varying_map_regrowth,dmlab_natlab_varying_map_regrowth_0
