train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,472500.0,0.18,,1890000.0,dmlab_psychlab_arbitrary_visuomotor_mapping,dmlab_psychlab_arbitrary_visuomotor_mapping
10000,942750.0,0.51,,3771000.0,dmlab_psychlab_arbitrary_visuomotor_mapping,dmlab_psychlab_arbitrary_visuomotor_mapping
15000,1480749.0,6.766666666666667,,5922996.0,dmlab_psychlab_arbitrary_visuomotor_mapping,dmlab_psychlab_arbitrary_visuomotor_mapping
20000,2021766.5,8.263503649635036,,8087066.0,dmlab_psychlab_arbitrary_visuomotor_mapping,dmlab_psychlab_arbitrary_visuomotor_mapping
25000,2496298.0,9.131343283582089,,9985192.0,dmlab_psychlab_arbitrary_visuomotor_mapping,dmlab_psychlab_arbitrary_visuomotor_mapping
30000,2965070.5,9.280645161290321,,11860282.0,dmlab_psychlab_arbitrary_visuomotor_mapping,dmlab_psychlab_arbitrary_visuomotor_mapping
35000,3485123.3333333335,9.496153846153844,,13940493.333333334,dmlab_psychlab_arbitrary_visuomotor_mapping,dmlab_psychlab_arbitrary_visuomotor_mapping
40000,3990279.5,8.950588235294116,,15961118.0,dmlab_psychlab_arbitrary_visuomotor_mapping,dmlab_psychlab_arbitrary_visuomotor_mapping
45000,4481066.0,8.610810810810811,,17924264.0,dmlab_psychlab_arbitrary_visuomotor_mapping,dmlab_psychlab_arbitrary_visuomotor_mapping
50000,5001633.0,8.337837837837839,,20006532.0,dmlab_psychlab_arbitrary_visuomotor_mapping,dmlab_psychlab_arbitrary_visuomotor_mapping
55000,5552261.0,8.658333333333331,,22209044.0,dmlab_psychlab_arbitrary_visuomotor_mapping,dmlab_psychlab_arbitrary_visuomotor_mapping
60000,6062745.5,10.481666666666667,,24250982.0,dmlab_psychlab_arbitrary_visuomotor_mapping,dmlab_psychlab_arbitrary_visuomotor_mapping
65000,6449369.0,10.630985915492959,,25797476.0,dmlab_psychlab_arbitrary_visuomotor_mapping,dmlab_psychlab_arbitrary_visuomotor_mapping
