train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,464752.0,29.30689655172415,,1859008.0,dmlab_psychlab_continuous_recognition,dmlab_psychlab_continuous_recognition
10000,797515.0,30.397814207650274,,3190060.0,dmlab_psychlab_continuous_recognition,dmlab_psychlab_continuous_recognition
15000,1259826.3333333333,30.20993788819875,,5039305.333333333,dmlab_psychlab_continuous_recognition,dmlab_psychlab_continuous_recognition
20000,1740174.0,27.12708333333332,,6960696.0,dmlab_psychlab_continuous_recognition,dmlab_psychlab_continuous_recognition
25000,2227050.6666666665,29.40714285714286,,8908202.666666666,dmlab_psychlab_continuous_recognition,dmlab_psychlab_continuous_recognition
30000,2747519.0,27.065789473684216,,10990076.0,dmlab_psychlab_continuous_recognition,dmlab_psychlab_continuous_recognition
35000,3234191.0,29.761971830985914,,12936764.0,dmlab_psychlab_continuous_recognition,dmlab_psychlab_continuous_recognition
40000,3759988.0,26.35428571428572,,15039952.0,dmlab_psychlab_continuous_recognition,dmlab_psychlab_continuous_recognition
45000,4258395.0,21.961904761904762,,17033580.0,dmlab_psychlab_continuous_recognition,dmlab_psychlab_continuous_recognition
50000,4779570.0,17.520833333333332,,19118280.0,dmlab_psychlab_continuous_recognition,dmlab_psychlab_continuous_recognition
55000,5347859.0,26.172340425531914,,21391436.0,dmlab_psychlab_continuous_recognition,dmlab_psychlab_continuous_recognition
60000,5853039.0,16.766666666666666,,23412156.0,dmlab_psychlab_continuous_recognition,dmlab_psychlab_continuous_recognition
65000,6392787.666666667,10.574999999999998,,25571150.666666668,dmlab_psychlab_continuous_recognition,dmlab_psychlab_continuous_recognition
70000,6865126.0,17.140000000000004,,27460504.0,dmlab_psychlab_continuous_recognition,dmlab_psychlab_continuous_recognition
