train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,445500.0,0.18500000000000003,,1782000.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search
10000,866250.0,0.07999999999999999,,3465000.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search
15000,1370324.3333333333,23.400000000000006,,5481297.333333333,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search
20000,1926581.5,38.48684210526315,,7706326.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search
25000,2447386.0,39.1404761904762,,9789544.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search
30000,2970639.0,38.63999999999999,,11882556.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search
35000,3459636.6666666665,39.69090909090909,,13838546.666666666,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search
40000,3997998.0,39.87826086956522,,15991992.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search
45000,4476562.333333333,40.2875,,17906249.333333332,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search
50000,4959736.0,39.54666666666667,,19838944.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search
55000,5468336.0,39.875555555555565,,21873344.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search
60000,5991348.5,40.29024390243902,,23965394.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search
65000,6479400.333333333,40.319148936170215,,25917601.333333332,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search
70000,6837224.0,39.76666666666667,,27348896.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search
