train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,636750.0,0.2222222222222222,,2547000.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
10000,990000.0,0.0,,3960000.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
15000,1594500.0,0.12903225806451613,,6378000.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
20000,2227500.0,0.23333333333333334,,8910000.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
25000,2863500.0,0.1935483870967742,,11454000.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
30000,3480750.0,0.1,,13923000.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
35000,4155375.6666666665,30.871794871794872,,16621502.666666666,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
40000,4813360.0,40.34,,19253440.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
45000,5412708.333333333,39.98076923076923,,21650833.333333332,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
50000,6056532.5,40.53846153846154,,24226130.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
55000,6719137.0,38.14,,26876548.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
60000,7336737.5,38.375,,29346950.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
65000,7955577.333333333,37.745098039215684,,31822309.333333332,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
70000,8636463.5,39.31481481481482,,34545854.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
75000,9247010.333333334,40.53703703703704,,36988041.333333336,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
80000,9872652.0,38.94,,39490608.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
85000,10486794.333333334,39.77777777777778,,41947177.333333336,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
90000,11117480.5,40.58490566037736,,44469922.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
95000,11720080.666666666,34.125,,46880322.666666664,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
100000,12301944.0,21.95,,49207776.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
105000,12900456.333333334,38.92156862745098,,51601825.333333336,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
110000,13505428.0,41.23529411764706,,54021712.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
115000,14059168.333333334,39.63461538461539,,56236673.333333336,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
120000,14622146.0,36.69047619047619,,58488584.0,dmlab_psychlab_visual_search,dmlab_psychlab_visual_search_0
