train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,413425.0,0.790625,,1653700.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects
10000,766717.5,3.807042253521127,,3066870.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects
15000,1209345.3333333333,5.032098765432098,,4837381.333333333,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects
20000,1654022.0,5.2037974683544315,,6616088.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects
25000,2098875.6666666665,6.4186046511627906,,8395502.666666666,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects
30000,2539770.0,7.752222222222217,,10159080.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects
35000,2977298.3333333335,8.513513513513514,,11909193.333333334,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects
40000,3413087.0,8.223529411764707,,13652348.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects
45000,3843898.3333333335,7.949532710280376,,15375593.333333334,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects
50000,4279133.0,8.862280701754386,,17116532.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects
55000,4709196.333333333,8.600763358778627,,18836785.333333332,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects
60000,5142311.5,9.212173913043475,,20569246.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects
65000,5494245.0,7.693548387096775,,21976980.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects
