train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,530380.0,3.025,,2121520.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
10000,1007364.5,6.405172413793103,,4029458.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
15000,1621299.3333333333,8.159663865546218,,6485197.333333333,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
20000,2241584.5,8.859375,,8966338.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
25000,2851384.6666666665,8.969465648854962,,11405538.666666666,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
30000,3470704.5,9.073529411764707,,13882818.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
35000,4071978.6666666665,8.96103896103896,,16287914.666666666,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
40000,4668200.5,8.97278911564626,,18672802.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
45000,5259832.0,8.9,,21039328.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
50000,5840674.5,8.579881656804734,,23362698.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
55000,6425845.0,8.763358778625955,,25703380.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
60000,7017364.5,9.164383561643836,,28069458.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
65000,7622287.333333333,9.17142857142857,,30489149.333333332,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
70000,8219746.5,9.333333333333334,,32878986.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
75000,8809158.666666666,9.163636363636364,,35236634.666666664,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
80000,9395703.5,8.833333333333334,,37582814.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
85000,9992000.666666666,9.56043956043956,,39968002.666666664,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
90000,10591943.0,9.748538011695906,,42367772.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
95000,11187733.666666666,9.58918918918919,,44750934.666666664,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
100000,11777761.0,9.74736842105263,,47111044.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
105000,12357929.666666666,9.706467661691542,,49431718.666666664,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
110000,12925172.5,9.653658536585366,,51700690.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
115000,13486852.333333334,9.60576923076923,,53947409.333333336,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
120000,13934665.0,9.762376237623762,,55738660.0,dmlab_rooms_collect_good_objects_train,dmlab_rooms_collect_good_objects_0
