train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,439020.0,1.3073770491803278,,1756080.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
10000,720900.0,2.7914893617021277,,2883600.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
15000,1132380.0,2.211267605633803,,4529520.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
20000,1553580.0,3.781725888324873,,6214320.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
25000,1958040.0,1.807511737089202,,7832160.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
30000,2374920.0,2.900523560209424,,9499680.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
35000,2764800.0,4.698492462311558,,11059200.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
40000,3148470.0,5.544973544973545,,12593880.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
45000,3499740.0,8.364102564102565,,13998960.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
50000,3834540.0,16.414893617021278,,15338160.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
55000,4202280.0,36.9468085106383,,16809120.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
60000,4548150.0,40.403225806451616,,18192600.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
65000,4903740.0,43.81481481481482,,19614960.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
70000,5180760.0,47.45,,20723040.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
75000,5529600.0,42.93048128342246,,22118400.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
80000,5895990.0,39.704918032786885,,23583960.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
85000,6255360.0,45.30769230769231,,25021440.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
90000,6621750.0,45.6951871657754,,26487000.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
95000,6994080.0,44.78,,27976320.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
100000,7383150.0,45.901041666666664,,29532600.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
105000,7700400.0,48.07142857142857,,30801600.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
110000,8034390.0,48.38235294117647,,32137560.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
115000,8365680.0,53.85308056872038,,33462720.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
120000,8727750.0,55.34415584415584,,34911000.0,dmlab_rooms_select_nonmatching_object,dmlab_rooms_select_nonmatching_object_0
