train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,459000.0,7.390000000000001,,1836000.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
10000,877500.0,6.69,,3510000.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
15000,1405200.0,16.76666666666667,,5620800.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
20000,1922400.0,15.370967741935486,,7689600.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
25000,2423400.0,10.053333333333335,,9693600.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
30000,2960100.0,6.773333333333334,,11840400.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
35000,3489000.0,13.096774193548386,,13956000.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
40000,4024800.0,9.961111111111112,,16099200.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
45000,4538400.0,20.736363636363635,,18153600.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
50000,5010300.0,9.993333333333332,,20041200.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
55000,5513400.0,21.749999999999996,,22053600.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
60000,6039900.0,20.04,,24159600.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
65000,6552600.0,18.763333333333332,,26210400.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
70000,7119000.0,19.57,,28476000.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
75000,7641600.0,24.746666666666666,,30566400.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
80000,8173800.0,24.333333333333332,,32695200.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
85000,8660400.0,20.412499999999998,,34641600.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
90000,9161100.0,22.92,,36644400.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
95000,9664200.0,25.82333333333333,,38656800.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
100000,10203300.0,23.403333333333332,,40813200.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
105000,10711200.0,24.989999999999995,,42844800.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
110000,11206800.0,26.180000000000007,,44827200.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
115000,11725200.0,25.51666666666667,,46900800.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
120000,12215700.0,25.088235294117652,,48862800.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
125000,12710400.0,23.086111111111112,,50841600.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
130000,13228200.0,21.686666666666664,,52912800.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
135000,13734000.0,23.56,,54936000.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
140000,14254200.0,20.85666666666667,,57016800.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
145000,14800200.0,25.796666666666667,,59200800.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
150000,15326100.0,26.696666666666665,,61304400.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
155000,15825600.0,20.162857142857142,,63302400.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
160000,16335900.0,23.508823529411767,,65343600.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
165000,16869600.0,23.167741935483868,,67478400.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
170000,17384400.0,27.376666666666665,,69537600.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
175000,17879400.0,24.99666666666667,,71517600.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
180000,18429300.0,27.14333333333333,,73717200.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
185000,18957600.0,26.570967741935483,,75830400.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
190000,19488600.0,24.49142857142857,,77954400.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
195000,20004000.0,26.21176470588235,,80016000.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
200000,20437200.0,25.939999999999998,,81748800.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
205000,20952000.0,27.06666666666667,,83808000.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
210000,21461400.0,26.83333333333333,,85845600.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
215000,21961200.0,28.370967741935488,,87844800.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
220000,22419900.0,25.265624999999996,,89679600.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
225000,22936800.0,24.099999999999994,,91747200.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
230000,23461200.0,24.44333333333333,,93844800.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
235000,24001200.0,21.983333333333334,,96004800.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
240000,24438600.0,26.645,,97754400.0,dmlab_rooms_watermaze,dmlab_rooms_watermaze
