train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,423764.0,10.204081632653061,,1695056.0,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
10000,765330.0,12.727272727272727,,3061320.0,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
15000,1129294.6666666667,15.0,,4517178.666666667,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
20000,1551386.0,34.78260869565217,,6205544.0,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
25000,1971833.6666666667,20.634920634920636,,7887334.666666667,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
30000,2430429.5,9.090909090909092,,9721718.0,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
35000,2891665.6666666665,21.666666666666668,,11566662.666666666,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
40000,3325798.5,15.789473684210526,,13303194.0,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
45000,3782522.0,8.928571428571429,,15130088.0,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
50000,4217969.5,17.54385964912281,,16871878.0,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
55000,4650282.0,20.338983050847457,,18601128.0,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
60000,5077327.5,19.672131147540984,,20309310.0,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
65000,5495095.666666667,36.486486486486484,,21980382.666666668,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
70000,5926218.5,32.35294117647059,,23704874.0,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
75000,6361235.0,23.4375,,25444940.0,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
80000,6826405.0,29.23076923076923,,27305620.0,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
85000,7291904.333333333,28.78787878787879,,29167617.333333332,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
90000,7737119.0,26.5625,,30948476.0,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
95000,8185055.666666667,34.32835820895522,,32740222.666666668,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
100000,8612352.5,31.818181818181817,,34449410.0,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
105000,9026137.333333334,26.865671641791046,,36104549.333333336,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
110000,9396671.0,42.857142857142854,,37586684.0,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
115000,9800624.666666666,42.666666666666664,,39202498.666666664,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
120000,,40.0,,,dmlab_skymaze_irreversible_path_varied,dmlab_skymaze_irreversible_path_varied_0
